Timestamp,data
2024/11/18 7:10:36 pm GMT+5:30,30
2024/11/18 7:12:54 pm GMT+5:30,43
2024/11/18 7:14:02 pm GMT+5:30,100
2024/11/18 7:14:50 pm GMT+5:30,69
2024/11/18 7:14:57 pm GMT+5:30,100
2024/11/18 7:15:37 pm GMT+5:30,25
2024/11/18 7:16:47 pm GMT+5:30,1
2024/11/18 7:19:01 pm GMT+5:30,40
2024/11/18 7:19:15 pm GMT+5:30,50
2024/11/18 7:19:16 pm GMT+5:30,40
2024/11/18 7:19:19 pm GMT+5:30,30
2024/11/18 7:19:21 pm GMT+5:30,50
2024/11/18 7:21:29 pm GMT+5:30,55
2024/11/18 7:23:26 pm GMT+5:30,30
2024/11/18 7:26:18 pm GMT+5:30,43
2024/11/18 7:26:31 pm GMT+5:30,75
2024/11/18 7:26:45 pm GMT+5:30,55
2024/11/18 7:26:47 pm GMT+5:30,75
2024/11/18 7:27:08 pm GMT+5:30,50
2024/11/18 7:27:35 pm GMT+5:30,69
2024/11/18 7:28:04 pm GMT+5:30,56
2024/11/18 7:28:16 pm GMT+5:30,69
2024/11/18 7:28:20 pm GMT+5:30,89
2024/11/18 7:28:29 pm GMT+5:30,20
2024/11/18 7:29:10 pm GMT+5:30,69
2024/11/18 7:29:12 pm GMT+5:30,99
2024/11/18 7:29:14 pm GMT+5:30,35
2024/11/18 7:29:20 pm GMT+5:30,88
2024/11/18 7:29:27 pm GMT+5:30,98
2024/11/18 7:30:35 pm GMT+5:30,77
2024/11/18 7:30:43 pm GMT+5:30,78
2024/11/18 7:30:50 pm GMT+5:30,96
2024/11/18 7:30:57 pm GMT+5:30,95
2024/11/18 7:31:03 pm GMT+5:30,94
2024/11/18 7:31:09 pm GMT+5:30,93
2024/11/18 7:31:15 pm GMT+5:30,92
2024/11/18 7:31:23 pm GMT+5:30,91
2024/11/18 7:31:29 pm GMT+5:30,90
2024/11/18 7:31:35 pm GMT+5:30,90
2024/11/18 7:31:50 pm GMT+5:30,89
2024/11/18 7:31:59 pm GMT+5:30,88
2024/11/18 7:32:05 pm GMT+5:30,87
2024/11/18 7:32:49 pm GMT+5:30,70
2024/11/18 7:34:07 pm GMT+5:30,0
2024/11/18 7:39:00 pm GMT+5:30,40
2024/11/18 7:43:50 pm GMT+5:30,100
2024/11/18 7:45:05 pm GMT+5:30,60
2024/11/18 7:45:20 pm GMT+5:30,10
2024/11/18 7:45:48 pm GMT+5:30,8
2024/11/18 7:45:52 pm GMT+5:30,90
2024/11/18 7:46:02 pm GMT+5:30,87
2024/11/18 7:46:12 pm GMT+5:30,10
2024/11/18 7:47:03 pm GMT+5:30,80
2024/11/18 7:48:14 pm GMT+5:30,10
2024/11/18 7:48:32 pm GMT+5:30,80
2024/11/18 7:48:41 pm GMT+5:30,80
2024/11/18 7:49:48 pm GMT+5:30,55
2024/11/18 7:51:23 pm GMT+5:30,100
2024/11/18 7:51:29 pm GMT+5:30,0
2024/11/18 7:52:36 pm GMT+5:30,30
2024/11/18 7:53:38 pm GMT+5:30,80
2024/11/18 7:55:31 pm GMT+5:30,100
2024/11/18 7:56:55 pm GMT+5:30,70
2024/11/18 7:57:10 pm GMT+5:30,90
2024/11/18 7:57:30 pm GMT+5:30,50
2024/11/18 7:59:30 pm GMT+5:30,39
2024/11/18 7:59:46 pm GMT+5:30,38
2024/11/18 8:00:10 pm GMT+5:30,46
2024/11/18 8:00:48 pm GMT+5:30,35
2024/11/18 8:02:02 pm GMT+5:30,89
2024/11/18 8:06:46 pm GMT+5:30,80
2024/11/18 8:07:25 pm GMT+5:30,1
2024/11/18 8:08:06 pm GMT+5:30,100
2024/11/18 8:11:56 pm GMT+5:30,0
2024/11/18 8:14:31 pm GMT+5:30,10
2024/11/18 8:14:57 pm GMT+5:30,40
2024/11/18 8:15:32 pm GMT+5:30,69
2024/11/18 8:16:24 pm GMT+5:30,69
2024/11/18 8:16:31 pm GMT+5:30,22
